idPartido,EquipoLocal,EquipoVisitante,golesLocal,golesVisitante,Temporada
1,Valencia,Las Palmas,1,0,2017-18
2,Leganes,Alaves,1,0,2017-18
3,Celta Vigo,Real Sociedad,2,3,2017-18
4,Girona,Atletico de Madrid,2,2,2017-18
5,Sevilla,Espanyol,1,1,2017-18
6,Athletic Club,Getafe,0,0,2017-18
7,Barcelona,Betis,2,0,2017-18
8,Deportivo de La Coruna,Real Madrid,0,3,2017-18
9,Levante,Villarreal,1,0,2017-18
10,Malaga,Eibar,0,1,2017-18
11,Real Sociedad,Villarreal,3,0,2017-18
12,Betis,Celta Vigo,2,1,2017-18
13,Alaves,Barcelona,0,2,2017-18
14,Levante,Deportivo de La Coruna,2,2,2017-18
15,Las Palmas,Atletico de Madrid,1,5,2017-18
16,Girona,Malaga,1,0,2017-18
17,Espanyol,Leganes,0,1,2017-18
18,Real Madrid,Valencia,2,2,2017-18
19,Getafe,Sevilla,0,1,2017-18
20,Eibar,Athletic Club,0,1,2017-18
21,Leganes,Getafe,1,2,2017-18
22,Valencia,Atletico de Madrid,0,0,2017-18
23,Real Madrid,Levante,1,1,2017-18
24,Sevilla,Eibar,3,0,2017-18
25,Barcelona,Espanyol,5,0,2017-18
26,Villarreal,Betis,3,1,2017-18
27,Deportivo de La Coruna,Real Sociedad,2,4,2017-18
28,Celta Vigo,Alaves,1,0,2017-18
29,Athletic Club,Girona,2,0,2017-18
30,Malaga,Las Palmas,1,3,2017-18
31,Eibar,Leganes,1,0,2017-18
32,Getafe,Barcelona,1,2,2017-18
33,Betis,Deportivo de La Coruna,2,1,2017-18
34,Atletico de Madrid,Malaga,1,0,2017-18
35,Levante,Valencia,1,1,2017-18
36,Las Palmas,Athletic Club,1,0,2017-18
37,Girona,Sevilla,0,1,2017-18
38,Real Sociedad,Real Madrid,1,3,2017-18
39,Alaves,Villarreal,0,3,2017-18
40,Espanyol,Celta Vigo,2,1,2017-18
41,Barcelona,Eibar,6,1,2017-18
42,Valencia,Malaga,5,0,2017-18
43,Athletic Club,Atletico de Madrid,1,2,2017-18
44,Sevilla,Las Palmas,1,0,2017-18
45,Deportivo de La Coruna,Alaves,1,0,2017-18
46,Real Madrid,Betis,0,1,2017-18
47,Leganes,Girona,0,0,2017-18
48,Celta Vigo,Getafe,1,1,2017-18
49,Levante,Real Sociedad,3,0,2017-18
50,Villarreal,Espanyol,0,0,2017-18
51,Alaves,Real Madrid,1,2,2017-18
52,Malaga,Athletic Club,3,3,2017-18
53,Atletico de Madrid,Sevilla,2,0,2017-18
54,Girona,Barcelona,0,3,2017-18
55,Espanyol,Deportivo de La Coruna,4,1,2017-18
56,Las Palmas,Leganes,0,2,2017-18
57,Getafe,Villarreal,4,0,2017-18
58,Eibar,Celta Vigo,0,4,2017-18
59,Real Sociedad,Valencia,2,3,2017-18
60,Betis,Levante,4,0,2017-18
61,Celta Vigo,Girona,3,3,2017-18
62,Leganes,Atletico de Madrid,0,0,2017-18
63,Sevilla,Malaga,2,0,2017-18
64,Levante,Alaves,0,2,2017-18
65,Deportivo de La Coruna,Getafe,2,1,2017-18
66,Valencia,Athletic Club,3,2,2017-18
67,Real Madrid,Espanyol,2,0,2017-18
68,Real Sociedad,Betis,4,4,2017-18
69,Barcelona,Las Palmas,3,0,2017-18
70,Villarreal,Eibar,3,0,2017-18
71,Espanyol,Levante,0,0,2017-18
72,Getafe,Real Madrid,1,2,2017-18
73,Athletic Club,Sevilla,1,0,2017-18
74,Alaves,Real Sociedad,0,2,2017-18
75,Atletico de Madrid,Barcelona,1,1,2017-18
76,Girona,Villarreal,1,2,2017-18
77,Betis,Valencia,3,6,2017-18
78,Eibar,Deportivo de La Coruna,0,0,2017-18
79,Malaga,Leganes,0,2,2017-18
80,Las Palmas,Celta Vigo,2,5,2017-18
81,Levante,Getafe,1,1,2017-18
82,Barcelona,Malaga,2,0,2017-18
83,Valencia,Sevilla,4,0,2017-18
84,Betis,Alaves,2,0,2017-18
