Temporada,Posición,Equipo,Partidos,Ganados,Empatados,Perdidos,Goles,Diferencia,Puntos
2017,1,FC Barcelona,,38,28,9,1,99:29,70
2017,2,Atlético Madrid,,38,23,10,5,58:22,36
2017,3,Real Madrid,,38,22,10,6,94:44,50
2017,4,Valencia CF,,38,22,7,9,65:38,27
2017,5,Villarreal CF,,38,18,7,13,57:50,7
2017,6,Real Betis,,38,18,6,14,60:61,-1
2017,7,Sevilla FC,,38,17,7,14,49:58,-9
2017,8,Getafe CF,,38,15,10,13,42:33,9
2017,9,SD Eibar,,38,14,9,15,44:50,-6
2017,10,Girona FC,,38,14,9,15,50:59,-9
2017,11,RCD Espanyol,,38,12,13,13,36:42,-6
2017,12,Real Sociedad,,38,14,7,17,66:59,7
2017,13,RC Celta,,38,13,10,15,59:60,-1
2017,14,Alavés,,38,15,2,21,40:50,-10
2017,15,Levante UD,,38,11,13,14,44:58,-14
2017,16,Athletic,,38,10,13,15,41:49,-8
2017,17,CD Leganés,,38,12,7,19,34:51,-17
2017,18,RC Deportivo,,38,6,11,21,38:76,-38
2017,19,UD Las Palmas,,38,5,7,26,24:74,-50
2017,20,Málaga CF,,38,5,5,28,24:61,-37
2018,1,FC Barcelona,,38,26,9,3,90:36,54
2018,2,Atlético Madrid,,38,22,10,6,55:29,26
2018,3,Real Madrid,,38,21,5,12,63:46,17
2018,4,Valencia CF,,38,15,16,7,51:35,16
2018,5,Getafe CF,,38,15,14,9,48:35,13
2018,6,Sevilla FC,,38,17,8,13,62:47,15
2018,7,RCD Espanyol,,38,14,11,13,48:50,-2
2018,8,Athletic,,38,13,14,11,41:45,-4
2018,9,Real Sociedad,,38,13,11,14,45:46,-1
2018,10,Real Betis,,38,14,8,16,44:52,-8
2018,11,Alavés,,38,13,11,14,39:50,-11
2018,12,SD Eibar,,38,11,14,13,46:50,-4
2018,13,CD Leganés,,38,11,12,15,37:43,-6
2018,14,Villarreal CF,,38,10,14,14,49:52,-3
2018,15,Levante UD,,38,11,11,16,59:66,-7
2018,16,Real Valladolid,,38,10,11,17,32:51,-19
2018,17,RC Celta,,38,10,11,17,53:62,-9
2018,18,Girona FC,,38,9,10,19,37:53,-16
2018,19,SD Huesca,,38,7,12,19,43:65,-22
2018,20,Rayo Vallecano,,38,8,8,22,41:70,-29
2019,1,Real Madrid,,38,26,9,3,70:25,45
2019,2,FC Barcelona,,38,25,7,6,86:38,48
2019,3,Atlético Madrid,,38,18,16,4,51:27,24
2019,4,Sevilla FC,,38,19,13,6,54:34,20
2019,5,Villarreal CF,,38,18,6,14,63:49,14
2019,6,Real Sociedad,,38,16,8,14,56:48,8
2019,7,Granada CF,,38,16,8,14,52:45,7
2019,8,Getafe CF,,38,14,12,12,43:37,6
2019,9,Valencia CF,,38,14,11,13,46:53,-7
2019,10,CA Osasuna,,38,13,13,12,46:54,-8
2019,11,Athletic,,38,13,12,13,41:38,3
2019,12,Levante UD,,38,14,7,17,47:53,-6
2019,13,Real Valladolid,,38,9,15,14,32:43,-11
2019,14,SD Eibar,,38,11,9,18,39:56,-17
2019,15,Real Betis,,38,10,11,17,48:60,-12
2019,16,Alavés,,38,10,9,19,34:59,-25
2019,17,RC Celta,,38,7,16,15,37:49,-12
2019,18,CD Leganés,,38,8,12,18,30:51,-21
2019,19,RCD Mallorca,,38,9,6,23,40:65,-25
2019,20,RCD Espanyol,,38,5,10,23,27:58,-31
2020,1,Atlético Madrid,,38,26,8,4,67:25,42
2020,2,Real Madrid,,38,25,9,4,67:28,39
2020,3,FC Barcelona,,38,24,7,7,85:38,47
2020,4,Sevilla FC,,38,24,5,9,53:33,20
2020,5,Real Sociedad,,38,17,11,10,59:38,21
2020,6,Real Betis,,38,17,10,11,50:50,0
2020,7,Villarreal CF,,38,15,13,10,60:44,16
2020,8,RC Celta,,38,14,11,13,55:57,-2
2020,9,Athletic,,38,11,13,14,46:42,4
2020,10,Granada CF,,38,13,7,18,47:65,-18
2020,11,CA Osasuna,,38,11,11,16,37:48,-11
2020,12,Cádiz CF,,38,11,11,16,36:58,-22
2020,13,Valencia CF,,38,10,13,15,50:53,-3
2020,14,Levante UD,,38,9,14,15,46:57,-11
2020,15,Getafe CF,,38,9,11,18,28:43,-15
2020,16,Alavés,,38,9,11,18,36:57,-21
2020,17,Elche CF,,38,8,12,18,34:55,-21
2020,18,SD Huesca,,38,7,13,18,34:53,-19
2020,19,Real Valladolid,,38,5,16,17,34:57,-23
2020,20,SD Eibar,,38,6,12,20,29:52,-23
2021,1,Real Madrid,,38,26,8,4,80:31,49
2021,2,FC Barcelona,,38,21,10,7,68:38,30
2021,3,Atlético Madrid,,38,21,8,9,65:43,22
2021,4,Sevilla FC,,38,18,16,4,53:30,23
2021,5,Real Betis,,38,19,8,11,62:40,22
2021,6,Real Sociedad,,38,17,11,10,40:37,3
2021,7,Villarreal CF,,38,16,11,11,63:37,26
2021,8,Athletic,,38,14,13,11,43:36,7
2021,9,Valencia CF,,38,11,15,12,48:53,-5
2021,10,CA Osasuna,,38,12,11,15,37:51,-14
2021,11,RC Celta,,38,12,10,16,43:43,0
2021,12,Rayo Vallecano,,38,11,9,18,39:50,-11
2021,13,Elche CF,,38,11,9,18,40:52,-12
2021,14,RCD Espanyol,,38,10,12,16,40:53,-13
2021,15,Getafe CF,,38,8,15,15,33:41,-8
2021,16,RCD Mallorca,,38,10,9,19,36:63,-27
2021,17,Cádiz CF,,38,8,15,15,35:51,-16
2021,18,Granada CF,,38,8,14,16,44:61,-17
2021,19,Levante UD,,38,8,11,19,51:76,-25
2021,20,Alavés,,38,8,7,23,31:65,-34
2022,1,FC Barcelona,,38,28,4,6,70:20,50
2022,2,Real Madrid,,38,24,6,8,75:36,39
2022,3,Atlético Madrid,,38,23,8,7,70:33,37
2022,4,Real Sociedad,,38,21,8,9,51:35,16
2022,5,Villarreal CF,,38,19,7,12,59:40,19
2022,6,Real Betis,,38,17,9,12,46:41,5
2022,7,CA Osasuna,,38,15,8,15,37:42,-5
2022,8,Athletic,,38,14,9,15,47:43,4
2022,9,RCD Mallorca,,38,14,8,16,37:43,-6
2022,10,Girona FC,,38,13,10,15,58:55,3
2022,11,Sevilla FC,,38,13,10,15,47:54,-7
2022,12,Rayo Vallecano,,38,13,10,15,45:53,-8
2022,13,RC Celta,,38,11,10,17,43:53,-10
2022,14,Valencia CF,,38,11,9,18,42:45,-3
2022,15,Getafe CF,,38,10,12,16,34:45,-11
2022,16,Cádiz CF,,38,10,12,16,30:53,-23
2022,17,UD Almería,,38,11,8,19,49:65,-16
2022,18,Real Valladolid,,38,11,7,20,33:63,-30
2022,19,RCD Espanyol,,38,8,13,17,52:69,-17
2022,20,Elche CF,,38,5,10,23,30:67,-37
2023,1,Real Madrid,,38,29,8,1,87:26,61
2023,2,FC Barcelona,,38,26,7,5,79:44,35
2023,3,Girona FC,,38,25,6,7,85:46,39
2023,4,Atlético Madrid,,38,24,4,10,70:43,27
2023,5,Athletic,,38,19,11,8,61:37,24
2023,6,Real Sociedad,,38,16,12,10,51:39,12
2023,7,Real Betis,,38,14,15,9,48:45,3
2023,8,Villarreal CF,,38,14,11,13,65:65,0
2023,9,Valencia CF,,38,13,10,15,40:45,-5
2023,10,Alavés,,38,12,10,16,36:46,-10
2023,11,CA Osasuna,,38,12,9,17,45:56,-11
2023,12,Getafe CF,,38,10,13,15,42:54,-12
2023,13,Sevilla FC,,38,10,11,17,48:54,-6
2023,14,RC Celta,,38,10,11,17,46:57,-11
2023,15,RCD Mallorca,,38,8,16,14,33:44,-11
2023,16,UD Las Palmas,,38,10,10,18,33:47,-14
2023,17,Rayo Vallecano,,38,8,14,16,29:48,-19
2023,18,Cádiz CF,,38,6,15,17,26:55,-29
2023,19,UD Almería,,38,3,12,23,43:75,-32
2023,20,Granada CF,,38,4,9,25,38:79,-41
