Equipo,SCA90,GCA90,Temporada
Alavés,17.50,1.87,2017-2018
Athletic Club,19.50,1.79,2017-2018
Atlético Madrid,18.45,2.74,2017-2018
Barcelona,27.24,4.47,2017-2018
Betis,19.05,2.45,2017-2018
Celta Vigo,21.11,2.71,2017-2018
Eibar,21.29,1.89,2017-2018
Espanyol,19.05,1.58,2017-2018
Getafe,16.55,1.68,2017-2018
Girona,20.89,2.32,2017-2018
Deportivo de La Coruna,21.53,1.76,2017-2018
Las Palmas,19.26,1.08,2017-2018
Leganés,17.84,1.45,2017-2018
Levante,19.16,2.08,2017-2018
Malaga,18.08,0.89,2017-2018
Real Madrid,33.95,4.37,2017-2018
Real Sociedad,24.26,2.84,2017-2018
Sevilla,24.39,2.37,2017-2018
Valencia,22.63,3.00,2017-2018
Villarreal,21.87,2.50,2017-2018
Alavés,18.42,1.55,2018-2019
Athletic Club,18.24,1.84,2018-2019
Atlético Madrid,20.74,2.34,2018-2019
Barcelona,26.32,4.16,2018-2019
Betis,20.58,2.00,2018-2019
Celta Vigo,21.42,2.34,2018-2019
Eibar,24.61,1.92,2018-2019
Espanyol,21.18,1.74,2018-2019
Getafe,17.74,2.05,2018-2019
Girona,18.21,1.66,2018-2019
Huesca,21.45,2.00,2018-2019
Leganés,18.61,1.61,2018-2019
Levante,19.97,2.58,2018-2019
Rayo Vallecano,20.84,1.76,2018-2019
Real Madrid,28.18,2.71,2018-2019
Real Sociedad,19.84,1.95,2018-2019
Sevilla,24.55,2.89,2018-2019
Valencia,22.50,2.42,2018-2019
Valladolid,19.53,1.39,2018-2019
Villarreal,22.92,2.03,2018-2019
Alavés,14.13,1.53,2019-2020
Athletic Club,18.16,1.71,2019-2020
Atlético Madrid,20.79,2.26,2019-2020
Barcelona,23.76,3.95,2019-2020
Betis,22.03,1.97,2019-2020
Celta Vigo,17.34,1.76,2019-2020
Eibar,18.66,1.66,2019-2020
Espanyol,18.18,1.16,2019-2020
Getafe,18.18,1.84,2019-2020
Granada,17.63,2.26,2019-2020
Leganés,19.79,1.42,2019-2020
Levante,19.63,2.08,2019-2020
Mallorca,19.53,1.68,2019-2020
Osasuna,20.61,1.92,2019-2020
Real Madrid,26.87,3.29,2019-2020
Real Sociedad,19.58,2.42,2019-2020
Sevilla,22.97,2.34,2019-2020
Valencia,16.11,2.11,2019-2020
Valladolid,17.03,1.39,2019-2020
Villarreal,22.74,2.84,2019-2020
Alavés,15.66,1.55,2020-2021
Athletic Club,19.03,1.92,2020-2021
Atlético Madrid,20.95,3.16,2020-2021
Barcelona,28.00,3.58,2020-2021
Betis,21.03,2.39,2020-2021
Cádiz,13.61,1.39,2020-2021
Celta Vigo,16.42,2.58,2020-2021
Eibar,19.95,1.26,2020-2021
Elche,12.11,1.42,2020-2021
Getafe,16.26,1.00,2020-2021
Granada,15.58,1.82,2020-2021
Huesca,18.92,1.47,2020-2021
Levante,17.66,2.11,2020-2021
Osasuna,16.18,1.61,2020-2021
Real Madrid,25.82,3.00,2020-2021
Real Sociedad,19.71,2.63,2020-2021
Sevilla,21.84,2.29,2020-2021
Valencia,18.08,2.26,2020-2021
Valladolid,17.16,1.47,2020-2021
Villarreal,19.53,2.61,2020-2021
Alavés,16.53,1.26,2021-2022
Athletic Club,21.61,1.89,2021-2022
Atlético Madrid,21.79,2.92,2021-2022
Barcelona,24.79,3.24,2021-2022
Betis,23.74,2.47,2021-2022
Cádiz,18.08,1.45,2021-2022
Celta Vigo,18.45,1.84,2021-2022
Elche,15.58,1.79,2021-2022
Espanyol,18.97,1.76,2021-2022
Getafe,18.42,1.39,2021-2022
Granada,18.47,1.79,2021-2022
Levante,18.95,2.08,2021-2022
Mallorca,20.03,1.55,2021-2022
Osasuna,18.97,1.63,2021-2022
Rayo Vallecano,22.68,1.66,2021-2022
Real Madrid,31.45,3.66,2021-2022
Real Sociedad,20.34,1.82,2021-2022
Sevilla,20.63,2.50,2021-2022
Valencia,18.89,2.18,2021-2022
Villarreal,21.05,2.95,2021-2022
Almería,19.95,2.00,2022-2023
Athletic Club,24.87,2.05,2022-2023
Atlético Madrid,25.21,3.05,2022-2023
Barcelona,27.63,3.29,2022-2023
Betis,19.50,1.82,2022-2023
Cádiz,17.45,1.29,2022-2023
Celta Vigo,21.55,1.84,2022-2023
Elche,19.11,1.42,2022-2023
Espanyol,19.34,2.21,2022-2023
Getafe,16.29,1.34,2022-2023
Girona,21.61,2.68,2022-2023
Mallorca,14.82,1.66,2022-2023
Osasuna,20.50,1.82,2022-2023
Rayo Vallecano,23.18,1.82,2022-2023
Real Madrid,31.42,3.53,2022-2023
Real Sociedad,21.05,2.16,2022-2023
Sevilla,22.03,2.16,2022-2023
Valencia,22.61,1.63,2022-2023
Valladolid,20.84,1.55,2022-2023
Villarreal,23.26,2.34,2022-2023
Alavés,21.50,1.58,2023-2024
Almería,21.66,1.84,2023-2024
Athletic Club,21.50,2.71,2023-2024
Atlético Madrid,22.42,3.16,2023-2024
Barcelona,27.97,3.58,2023-2024
Betis,22.89,2.05,2023-2024
Cádiz,18.37,1.05,2023-2024
Celta Vigo,22.50,2.13,2023-2024
Getafe,20.16,1.82,2023-2024
Girona,22.95,4.00,2023-2024
Granada,18.63,1.66,2023-2024
Las Palmas,18.61,1.58,2023-2024
Mallorca,19.32,1.50,2023-2024
Osasuna,18.79,1.92,2023-2024
Rayo Vallecano,21.45,1.05,2023-2024
Real Madrid,28.47,4.05,2023-2024
Real Sociedad,20.39,2.08,2023-2024
Sevilla,23.00,2.21,2023-2024
Valencia,17.63,1.74,2023-2024
Villarreal,22.50,2.92,2023-2024
