Equipo,PL,90 Jugados,ACT,SCA90,PassLiveSCA,PassDeadSCA,TakeOnsSCA,ShotsSCA,FouledSCA,DefenseSCA,ACG,GCA90,PassLiveGCA,PassDeadGCA,TakeOnsGCA,ShotsGCA,FouledGCA,DefenseGCA,Temporada
Almería,28,38.0,,,,,,,,,,,,,,,,,2013-2014
Athletic Club,24,38.0,,,,,,,,,,,,,,,,,2013-2014
Atlético Madrid,25,38.0,,,,,,,,,,,,,,,,,2013-2014
Barcelona,25,38.0,,,,,,,,,,,,,,,,,2013-2014
Betis,33,38.0,,,,,,,,,,,,,,,,,2013-2014
Celta Vigo,26,38.0,,,,,,,,,,,,,,,,,2013-2014
Elche,28,38.0,,,,,,,,,,,,,,,,,2013-2014
Espanyol,24,38.0,,,,,,,,,,,,,,,,,2013-2014
Getafe,28,38.0,,,,,,,,,,,,,,,,,2013-2014
Granada,26,38.0,,,,,,,,,,,,,,,,,2013-2014
Levante,28,38.0,,,,,,,,,,,,,,,,,2013-2014
Málaga,28,38.0,,,,,,,,,,,,,,,,,2013-2014
Osasuna,25,38.0,,,,,,,,,,,,,,,,,2013-2014
Rayo Vallecano,30,38.0,,,,,,,,,,,,,,,,,2013-2014
Real Madrid,25,38.0,,,,,,,,,,,,,,,,,2013-2014
Real Sociedad,27,38.0,,,,,,,,,,,,,,,,,2013-2014
Sevilla,31,38.0,,,,,,,,,,,,,,,,,2013-2014
Valencia,31,38.0,,,,,,,,,,,,,,,,,2013-2014
Valladolid,25,38.0,,,,,,,,,,,,,,,,,2013-2014
Villarreal,25,38.0,,,,,,,,,,,,,,,,,2013-2014
Almería,27,38.0,,,,,,,,,,,,,,,,,2014-2015
Athletic Club,26,38.0,,,,,,,,,,,,,,,,,2014-2015
Atlético Madrid,25,38.0,,,,,,,,,,,,,,,,,2014-2015
Barcelona,24,38.0,,,,,,,,,,,,,,,,,2014-2015
Celta Vigo,23,38.0,,,,,,,,,,,,,,,,,2014-2015
Córdoba,33,38.0,,,,,,,,,,,,,,,,,2014-2015
Eibar,23,38.0,,,,,,,,,,,,,,,,,2014-2015
Elche,24,38.0,,,,,,,,,,,,,,,,,2014-2015
