Equipo,Derribos conseguidos,% Dribladores derribados,Desafíos Perdidos,Disparos Bloqueados,Intercepciones,Errores,Temporada
Alaves,12.2,40.3,10.4,3.50,13.1,0.29,2017-2018
Athletic Club,12.8,40.3,11.6,2.71,12.2,0.24,2017-2018
Atletico de Madrid,16.2,44.5,12.4,3.39,13.5,0.11,2017-2018
Barcelona,10.9,41.5,8.50,2.71,11.2,0.26,2017-2018
Betis,11.2,39.7,8.53,2.50,11.2,0.45,2017-2018
Celta Vigo,11.1,39.2,8.89,2.66,13.1,0.26,2017-2018
Eibar,11.5,42.1,9.34,1.39,14.6,0.24,2017-2018
Espanyol,13.2,38.7,11.3,3.05,13.6,0.24,2017-2018
Getafe,12.9,37.7,12.0,1.82,12.8,0.13,2017-2018
Girona,10.6,39.6,9.63,2.21,12.9,0.16,2017-2018
Deportivo de La Coruna,13.2,43.0,10.2,2.97,12.7,0.34,2017-2018
Las Palmas,11.4,41.4,9.97,2.95,13.4,0.55,2017-2018
Leganes,12.7,46.3,9.84,2.29,15.3,0.24,2017-2018
Levante,10.9,38.2,10.2,3.34,12.6,0.24,2017-2018
Malaga,13.4,38.5,11.4,2.66,13.1,0.08,2017-2018
Real Madrid,12.4,40.6,9.71,2.18,11.2,0.42,2017-2018
Real Sociedad,9.84,42.4,8.13,2.39,11.7,0.16,2017-2018
Sevilla,14.1,43.2,10.2,3.00,10.8,0.45,2017-2018
Valencia,12.9,44.7,10.1,2.84,12.1,0.24,2017-2018
Villarreal,12.3,39.6,11.1,3.45,11.2,0.18,2017-2018
Alaves,10.2,42.7,8.97,3.08,10.3,0.34,2018-2019
Athletic Club,10.1,37.9,10.6,2.45,11.9,0.18,2018-2019
Atletico de Madrid,12.8,45.6,10.0,2.47,12.2,0.32,2018-2019
Barcelona,9.11,45.9,7.00,2.66,10.3,0.42,2018-2019
Betis,9.95,40.3,8.55,2.11,9.50,0.55,2018-2019
Celta Vigo,9.92,45.9,8.00,2.76,10.1,0.50,2018-2019
Eibar,11.2,42.6,8.50,1.39,9.68,0.26,2018-2019
Espanyol,10.4,38.5,11.1,3.53,10.7,0.37,2018-2019
Getafe,9.42,41.3,9.53,2.13,11.9,0.39,2018-2019
Girona,9.66,41.5,9.79,3.26,11.4,0.37,2018-2019
Huesca,11.9,43.7,10.3,2.82,11.6,0.32,2018-2019
Leganes,10.1,39.1,9.32,2.21,11.4,0.26,2018-2019
Levante,9.79,36.6,12.1,3.97,11.1,0.32,2018-2019
Rayo Vallecano,11.1,43.4,8.82,2.03,11.4,0.42,2018-2019
Real Madrid,10.4,39.0,10.1,2.05,9.82,0.29,2018-2019
Real Sociedad,9.05,42.5,8.84,2.87,11.2,0.50,2018-2019
Sevilla,10.7,39.6,8.16,3.00,9.61,0.39,2018-2019
Valencia,10.1,40.5,9.21,3.16,11.0,0.32,2018-2019
Valladolid,11.6,41.3,10.5,2.97,10.2,0.42,2018-2019
Villarreal,10.9,41.4,10.2,3.74,10.3,0.32,2018-2019
Alaves,9.11,41.2,9.58,3.00,10.3,0.18,2019-2020
Athletic Club,8.53,35.4,10.4,2.42,9.82,0.18,2019-2020
Atletico de Madrid,10.7,44.2,9.39,2.84,10.8,0.47,2019-2020
Barcelona,8.50,42.1,7.63,2.29,9.00,0.42,2019-2020
Betis,7.87,43.2,7.63,3.13,7.95,0.21,2019-2020
Celta Vigo,9.39,40.8,9.58,2.34,10.4,0.32,2019-2020
Eibar,8.89,43.5,9.03,2.13,11.3,0.21,2019-2020
Espanyol,9.58,36.7,11.7,2.53,9.47,0.45,2019-2020
Getafe,8.97,41.0,8.89,1.58,9.66,0.32,2019-2020
Granada,9.18,41.8,8.74,3.11,10.1,0.26,2019-2020
Leganes,9.39,41.6,9.37,1.92,11.0,0.18,2019-2020
