Equipo,Pases Completados,Distancia Progresiva de Pase,Asistencias Esperadas,Centro al Punto Penal,Pases Progresivos,Temporada
Alaves,255.2,2150.5,0.58,1.63,27.5,2017-2018
Athletic Club,347.2,2643.5,0.88,2.74,40.0,2017-2018
Atletico de Madrid,381.2,2477.4,0.81,0.89,38.4,2017-2018
Barcelona,582.8,3193.0,1.66,0.79,56.6,2017-2018
Betis,472.4,2753.0,0.83,1.68,39.6,2017-2018
Celta Vigo,446.9,2861.7,0.97,2.29,42.0,2017-2018
Eibar,334.9,2594.6,0.76,3.63,38.6,2017-2018
Espanyol,335.6,2378.1,0.74,2.24,33.6,2017-2018
Getafe,224.5,2019.0,0.67,1.76,28.7,2017-2018
Girona,311.7,2385.5,0.92,2.97,32.0,2017-2018
Deportivo de La Coruna,336.4,2450.7,0.92,2.24,38.9,2017-2018
Las Palmas,416.4,2634.8,0.73,1.61,35.1,2017-2018
Leganes,273.2,2205.0,0.71,1.97,29.2,2017-2018
Levante,282.0,2222.0,0.59,2.29,33.8,2017-2018
Malaga,300.6,2367.1,0.62,2.55,30.8,2017-2018
Real Madrid,551.4,3163.2,1.55,3.21,62.7,2017-2018
Real Sociedad,446.7,2804.8,0.94,2.71,42.2,2017-2018
Sevilla,430.7,2813.7,0.97,1.47,48.0,2017-2018
Valencia,376.0,2590.9,0.88,1.97,41.1,2017-2018
Villarreal,394.6,2691.0,0.84,1.58,38.2,2017-2018
Alaves,253.4,2222.0,0.66,3.08,29.3,2018-2019
Athletic Club,347.2,2505.7,0.91,2.26,38.2,2018-2019
Atletico de Madrid,393.2,2348.0,0.98,1.24,36.5,2018-2019
Barcelona,612.2,3200.0,1.43,0.97,55.5,2018-2019
Betis,510.8,2800.0,0.94,1.61,42.9,2018-2019
Celta Vigo,393.6,2496.3,0.78,1.76,33.9,2018-2019
Eibar,341.5,2572.1,1.02,4.00,42.6,2018-2019
Espanyol,364.6,2539.8,0.86,1.58,39.3,2018-2019
Getafe,213.4,2094.0,0.76,2.26,29.8,2018-2019
Girona,345.7,2495.6,0.82,2.42,34.6,2018-2019
Huesca,278.6,2254.5,0.82,2.92,31.8,2018-2019
Leganes,282.4,2292.0,0.71,3.18,30.3,2018-2019
Levante,284.8,2179.9,0.75,1.66,34.1,2018-2019
Rayo Vallecano,328.1,2297.1,0.77,2.11,34.9,2018-2019
Real Madrid,542.8,3097.6,1.18,2.29,55.1,2018-2019
Real Sociedad,383.3,2488.2,0.82,2.34,36.3,2018-2019
Sevilla,383.0,2618.4,1.20,2.71,47.5,2018-2019
Valencia,360.0,2502.7,1.19,2.34,41.1,2018-2019
Valladolid,316.2,2261.7,0.64,1.92,34.2,2018-2019
Villarreal,362.1,2591.5,0.89,1.76,43.4,2018-2019
Alaves,252.9,2172.9,0.58,1.47,24.8,2019-2020
Athletic Club,329.8,2375.0,0.66,2.24,34.0,2019-2020
Atletico de Madrid,357.8,2325.3,0.98,1.29,35.1,2019-2020
Barcelona,651.5,3158.3,1.35,0.82,53.7,2019-2020
Betis,425.8,2486.6,0.89,2.21,38.8,2019-2020
Celta Vigo,382.9,2376.9,0.69,1.58,35.9,2019-2020
Eibar,274.7,2208.5,0.69,2.84,33.3,2019-2020
Espanyol,312.7,2297.0,0.70,2.26,32.6,2019-2020
Getafe,218.9,2059.6,0.70,3.42,31.5,2019-2020
Granada,258.2,2096.2,0.69,1.82,26.6,2019-2020
Leganes,272.0,2132.3,0.67,2.50,30.7,2019-2020
Levante,326.7,2419.9,0.72,1.97,35.7,2019-2020
Mallorca,310.1,2238.4,0.70,1.92,31.8,2019-2020
Osasuna,288.4,2337.2,0.78,2.47,35.8,2019-2020
Real Madrid,529.1,2989.7,1.24,2.63,51.9,2019-2020
Real Sociedad,420.8,2612.6,0.91,2.26,41.8,2019-2020
