Equipo,GC,PD,TL,TE,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Int.,Att (GK),TI,Opp,Stp,Temporada
Alavés,1.32,0.18,0.05,0.18,0.05,1.30,0.25,0.04,+0.04,8.68,20.7,18.6,2.71,17.3,0.45,2017-2018
Athletic Club,1.29,0.08,0.08,0.13,0.08,1.37,0.28,0.16,+0.16,10.7,22.1,28.1,3.68,13.8,0.76,2017-2018
Atlético Madrid,0.58,0.03,0.03,0.05,0.03,0.87,0.23,0.32,+0.32,5.11,15.3,16.7,2.87,14.5,0.68,2017-2018
Barcelona,0.76,0.05,0.00,0.03,0.00,0.97,0.26,0.21,+0.21,3.42,8.16,27.9,5.18,10.8,0.39,2017-2018
Betis,1.61,0.08,0.00,0.18,0.11,1.27,0.29,-0.23,-0.24,5.24,15.2,32.6,4.29,15.4,0.66,2017-2018
Celta Vigo,1.58,0.11,0.00,0.21,0.03,1.30,0.29,-0.25,-0.25,6.50,18.4,30.4,3.26,14.2,0.37,2017-2018
Eibar,1.32,0.11,0.05,0.08,0.08,1.26,0.34,0.02,+0.02,9.45,25.2,26.1,2.53,9.97,0.61,2017-2018
Espanyol,1.11,0.11,0.03,0.13,0.05,1.24,0.26,0.19,+0.19,6.24,17.7,19.9,4.53,14.9,0.82,2017-2018
Getafe,0.87,0.05,0.00,0.08,0.00,1.11,0.31,0.24,+0.24,7.68,24.3,21.4,2.11,14.4,0.66,2017-2018
Girona,1.55,0.11,0.08,0.05,0.08,1.52,0.32,0.05,+0.05,7.61,21.0,21.8,3.50,12.8,0.37,2017-2018
La Coruña,2.00,0.11,0.11,0.29,0.08,1.64,0.33,-0.28,-0.28,6.21,15.8,17.6,3.89,15.8,0.79,2017-2018
Las Palmas,1.95,0.13,0.03,0.18,0.03,1.94,0.33,0.02,+0.02,5.21,14.7,31.4,6.29,14.0,0.79,2017-2018
Leganés,1.34,0.16,0.11,0.11,0.00,1.36,0.30,0.02,+0.02,8.89,25.3,24.3,2.47,13.4,0.82,2017-2018
Levante,1.53,0.13,0.03,0.21,0.08,1.52,0.29,0.08,+0.08,7.37,19.6,19.7,2.97,15.8,0.79,2017-2018
Málaga,1.61,0.16,0.03,0.08,0.00,1.75,0.36,0.15,+0.15,8.11,21.6,20.8,2.39,14.1,0.76,2017-2018
Real Madrid,1.16,0.05,0.00,0.18,0.05,1.19,0.30,0.09,+0.09,2.76,7.29,19.9,4.84,11.4,0.47,2017-2018
Real Sociedad,1.55,0.16,0.05,0.18,0.03,1.39,0.30,-0.14,-0.14,6.16,14.7,35.7,3.92,12.4,0.74,2017-2018
Sevilla,1.53,0.13,0.03,0.16,0.03,1.36,0.32,-0.14,-0.14,4.34,12.0,19.8,4.95,14.4,0.79,2017-2018
Valencia,1.00,0.08,0.03,0.13,0.00,1.33,0.28,0.33,+0.33,4.95,14.1,17.0,4.76,16.4,0.61,2017-2018
Villarreal,1.32,0.13,0.03,0.16,0.00,1.34,0.28,0.02,+0.02,4.74,14.0,19.1,4.84,18.1,0.82,2017-2018
Alavés,1.32,0.16,0.08,0.05,0.05,1.38,0.29,0.12,+0.12,8.55,20.9,21.2,2.58,16.6,0.55,2018-2019
Athletic Club,1.18,0.13,0.00,0.16,0.00,1.13,0.32,-0.06,-0.06,9.42,21.7,23.7,3.24,13.4,0.58,2018-2019
Atlético Madrid,0.76,0.13,0.00,0.11,0.05,1.11,0.28,0.40,+0.40,5.79,15.7,15.3,2.74,14.6,0.58,2018-2019
Barcelona,0.95,0.05,0.00,0.05,0.03,1.06,0.30,0.14,+0.14,3.29,6.42,25.5,5.55,11.6,0.21,2018-2019
Betis,1.37,0.11,0.05,0.21,0.00,1.36,0.31,-0.01,-0.01,3.37,8.87,30.3,5.13,12.3,0.66,2018-2019
Celta Vigo,1.63,0.16,0.11,0.13,0.03,1.57,0.32,-0.03,-0.03,6.76,17.6,24.3,4.24,15.3,0.53,2018-2019
Eibar,1.32,0.08,0.05,0.08,0.03,1.16,0.31,-0.13,-0.13,8.55,22.5,24.0,2.84,10.6,0.53,2018-2019
Espanyol,1.32,0.16,0.13,0.18,0.05,1.36,0.27,0.10,+0.10,5.95,14.8,22.8,3.50,17.7,0.63,2018-2019
Getafe,0.92,0.11,0.03,0.05,0.05,1.06,0.26,0.19,+0.19,9.45,25.3,21.9,1.37,12.5,0.53,2018-2019
