idPartido,EquipoLocal,EquipoVisitante,golesLocal,golesVisitante,Temporada,SCA90_local,GCA90_local,SCA90_visitante,GCA90_visitante
1,Valencia,Las Palmas,1,0,2017-2018,22.63,3.0,19.26,1.08
2,Leganes,Alaves,1,0,2017-2018,17.84,1.45,17.5,1.87
3,Celta Vigo,Real Sociedad,2,3,2017-2018,21.11,2.71,24.26,2.84
4,Girona,Atletico de Madrid,2,2,2017-2018,20.89,2.32,18.45,2.74
5,Sevilla,Espanyol,1,1,2017-2018,24.39,2.37,19.05,1.58
6,Athletic Club,Getafe,0,0,2017-2018,19.5,1.79,16.55,1.68
7,Barcelona,Betis,2,0,2017-2018,27.24,4.47,19.05,2.45
8,Deportivo de La Coruna,Real Madrid,0,3,2017-2018,21.53,1.76,33.95,4.37
9,Levante,Villarreal,1,0,2017-2018,19.16,2.08,21.87,2.5
10,Malaga,Eibar,0,1,2017-2018,18.08,0.89,21.29,1.89
11,Real Sociedad,Villarreal,3,0,2017-2018,24.26,2.84,21.87,2.5
12,Betis,Celta Vigo,2,1,2017-2018,19.05,2.45,21.11,2.71
13,Alaves,Barcelona,0,2,2017-2018,17.5,1.87,27.24,4.47
14,Levante,Deportivo de La Coruna,2,2,2017-2018,19.16,2.08,21.53,1.76
15,Las Palmas,Atletico de Madrid,1,5,2017-2018,19.26,1.08,18.45,2.74
16,Girona,Malaga,1,0,2017-2018,20.89,2.32,18.08,0.89
17,Espanyol,Leganes,0,1,2017-2018,19.05,1.58,17.84,1.45
18,Real Madrid,Valencia,2,2,2017-2018,33.95,4.37,22.63,3.0
19,Getafe,Sevilla,0,1,2017-2018,16.55,1.68,24.39,2.37
20,Eibar,Athletic Club,0,1,2017-2018,21.29,1.89,19.5,1.79
21,Leganes,Getafe,1,2,2017-2018,17.84,1.45,16.55,1.68
22,Valencia,Atletico de Madrid,0,0,2017-2018,22.63,3.0,18.45,2.74
23,Real Madrid,Levante,1,1,2017-2018,33.95,4.37,19.16,2.08
24,Sevilla,Eibar,3,0,2017-2018,24.39,2.37,21.29,1.89
25,Barcelona,Espanyol,5,0,2017-2018,27.24,4.47,19.05,1.58
26,Villarreal,Betis,3,1,2017-2018,21.87,2.5,19.05,2.45
27,Deportivo de La Coruna,Real Sociedad,2,4,2017-2018,21.53,1.76,24.26,2.84
28,Celta Vigo,Alaves,1,0,2017-2018,21.11,2.71,17.5,1.87
29,Athletic Club,Girona,2,0,2017-2018,19.5,1.79,20.89,2.32
30,Malaga,Las Palmas,1,3,2017-2018,18.08,0.89,19.26,1.08
31,Eibar,Leganes,1,0,2017-2018,21.29,1.89,17.84,1.45
32,Getafe,Barcelona,1,2,2017-2018,16.55,1.68,27.24,4.47
33,Betis,Deportivo de La Coruna,2,1,2017-2018,19.05,2.45,21.53,1.76
